section,section_name,check,level,status,n_columns_attempted,n_columns_coerced_ok,n_columns_failed,detail,timestamp,n_columns_imputed,n_high_missing_columns,n_columns_treated,n_rows_dropped,n_columns_consolidated,n_values_consolidated,n_columns_with_constraints,n_values_modified,n_rules_repairable,n_rules_applied,n_rows_repaired,n_features_configured,n_features_success,n_features_error,n_categorical_features,n_one_hot,n_ordinal,n_target,n_columns_summarized,avg_delta_pct_missing,avg_delta_pct_outliers,config_hash,schema_hash,n_checks_run,n_checks_ok,n_checks_fail,run_status,integrity_index,revalidation_status,n_rows_exported,n_cols_exported,formats,n_rows_changed,n_cells_changed,mode
2.6.8,Derived feature regeneration,Recompute configured derived features after cleaning and repairs,info,OK,,,,derived_feature_refresh.csv,2025-11-21 02:44:49.894305+00:00,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
2.6.7,Logic-driven field repairs,Apply configured repair strategies to selected logic rule violations,info,OK,,,,logic_repair_log.csv,2025-11-21 02:45:04.318335+00:00,,,,,,,,,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2.6.8,Derived feature regeneration,Recompute configured derived features after cleaning and repairs,info,OK,,,,derived_feature_refresh.csv,2025-11-21 02:45:13.133618+00:00,,,,,,,,,,,,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,
2.6.9,Categorical encoding preparation,Assign encoding methods to categorical features and estimate dimensionality,info,OK,,,,encoding_plan.csv,2025-11-21 02:45:38.227549+00:00,,,,,,,,,,,,,,,18.0,18.0,0.0,0.0,,,,,,,,,,,,,,,,,
2.6.9,Categorical encoding preparation,Assign encoding methods to categorical features and estimate dimensionality,info,OK,,,,encoding_plan.csv,2025-11-21 02:46:38.134779+00:00,,,,,,,,,,,,,,,18.0,18.0,0.0,0.0,,,,,,,,,,,,,,,,,
2.6.8,Derived feature regeneration,Recompute configured derived features after cleaning and repairs,info,OK,,,,derived_feature_refresh.csv,2025-11-21 02:47:24.136961+00:00,,,,,,,,,,,,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,
2.6.7,Logic-driven field repairs,Apply configured repair strategies to selected logic rule violations,info,OK,,,,logic_repair_log.csv,2025-11-21 02:47:30.852204+00:00,,,,,,,,,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2.6.8,Derived feature regeneration,Recompute configured derived features after cleaning and repairs,info,OK,,,,derived_feature_refresh.csv,2025-11-21 02:47:39.396601+00:00,,,,,,,,,,,,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,
2.6.2,Safe type coercion layer,Coerce columns to configured dtypes with logging and error tracking,info,OK,31.0,31.0,0.0,type_coercion_log.csv,2025-11-21 05:41:40.126616+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.3,Missing value treatment,Apply configured imputation strategies per column type,info,WARN,,,,missing_value_imputations.csv,2025-11-21 05:41:40.180026+00:00,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.4,Outlier handling,Apply configured outlier policy (winsorize/cap/drop/flag-only) to numeric columns,info,OK,,,,outlier_treatment_report.csv,2025-11-21 05:41:40.295078+00:00,,,8.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.5,Range & domain enforcement,Enforce configured numeric ranges and categorical domains,info,OK,,,,domain_enforcement_log.csv,2025-11-21 05:41:40.402249+00:00,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.6,Rare-category consolidation,Group low-frequency categories into configured 'Other' buckets,info,WARN,,,,category_consolidation_map.json,2025-11-21 05:41:41.048899+00:00,,,,,1.0,7043.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.7,Logic-driven field repairs,Apply configured repair strategies to selected logic rule violations,info,OK,,,,logic_repair_log.csv,2025-11-21 05:41:52.441071+00:00,,,,,,,,,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2.6.8,Derived feature regeneration,Recompute configured derived features after cleaning and repairs,info,OK,,,,derived_feature_refresh.csv,2025-11-21 05:42:30.705288+00:00,,,,,,,,,,,,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,
2.6.9,Categorical encoding preparation,Assign encoding methods to categorical features and estimate dimensionality,info,OK,,,,encoding_plan.csv,2025-11-21 05:42:46.861521+00:00,,,,,,,,,,,,,,,19.0,18.0,0.0,1.0,,,,,,,,,,,,,,,,,
2.6.2,Safe type coercion layer,Coerce columns to configured dtypes with logging and error tracking,info,OK,31.0,31.0,0.0,type_coercion_log.csv,2025-11-21 05:45:25.439645+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.3,Missing value treatment,Apply configured imputation strategies per column type,info,WARN,,,,missing_value_imputations.csv,2025-11-21 05:45:25.476795+00:00,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.4,Outlier handling,Apply configured outlier policy (winsorize/cap/drop/flag-only) to numeric columns,info,OK,,,,outlier_treatment_report.csv,2025-11-21 05:45:25.549525+00:00,,,8.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.5,Range & domain enforcement,Enforce configured numeric ranges and categorical domains,info,OK,,,,domain_enforcement_log.csv,2025-11-21 05:45:25.582485+00:00,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.6,Rare-category consolidation,Group low-frequency categories into configured 'Other' buckets,info,WARN,,,,category_consolidation_map.json,2025-11-21 05:45:26.067093+00:00,,,,,1.0,7043.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.2,Safe type coercion layer,Coerce columns to configured dtypes with logging and error tracking,info,OK,31.0,31.0,0.0,type_coercion_log.csv,2025-11-21 05:45:26.445069+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.3,Missing value treatment,Apply configured imputation strategies per column type,info,WARN,,,,missing_value_imputations.csv,2025-11-21 05:45:26.588632+00:00,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
